date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,m2_usd_m,cse_net_usd_m,trade_balance_usd_m
2018-09-01,7164.0793420685,1055.2146080861978,1768.4101377475615,499.5686117071165,279.84226248000004,165.2237,38036.0129594824,-6.924404831697,-713.1955296613637
2018-10-01,7903.305318148267,979.096089464566,1882.473484503176,599.092454277415,287.41799592,171.3614,36915.95495707808,-36.47408671754303,-903.37739503861
2018-11-01,7005.322478512801,979.5512009150912,1764.6054092036552,555.0423235268939,367.11523728,176.7275,35961.11119783548,-30.090089875234963,-785.054208288564
2018-12-01,6919.216639148527,1033.3831084516703,1734.5814769958135,584.450098589887,475.20833976000006,180.0794,35691.642602901054,-26.151820086904127,-701.1983685441432
2019-01-01,6152.196208752774,1038.1468507890256,1655.458756514842,545.3254992794382,460.339713288,181.6025,35347.175140248735,-14.073453339407244,-617.3119057258164
2019-02-01,6035.155009941658,981.119883809676,1432.39631128465,500.492162671479,475.029782136,178.3944,36270.920214239355,-14.736943459883388,-451.276427474974
2019-03-01,7629.241941007436,1136.862305459054,1729.043562407311,571.431009617002,460.507459776,178.0952,36778.31926162575,-4.9763477037895285,-592.181256948257
2019-04-01,7213.972057497156,798.1056022403444,1595.57292195424,553.6920420435212,314.7131442,174.6432,37708.41875583704,10.007029799571692,-797.4673197138956
2019-05-01,6722.612629789063,961.0197730366248,1783.6946109147184,562.1201492822893,71.248907184,176.15,37589.43963742555,3.7402092397539306,-822.6748378780936
2019-06-01,8864.984523119312,1083.954426800322,1399.8439347672734,536.6275845682627,118.877601024,176.4635,37748.492169959165,9.9162063191689,-315.88950796695144
2019-07-01,8347.063830786541,998.5344346682732,1715.9194214006632,625.6805908103535,218.072319192,175.8832,38078.926611786235,43.8725069556948,-717.38498673239
2019-08-01,8523.712277937197,1032.5052702891876,1573.6060230957069,518.2479690698589,270.631628904,177.9386,37843.07065607883,-11.97406279243592,-541.1007528065193
2019-09-01,7635.331963594275,953.7545302038528,1710.5377216240204,516.2660983194008,204.6412914,180.7975,37396.88027670205,-6.897463192894378,-756.7831914201676
2019-10-01,7780.083013603978,977.2802613026088,1815.72509139126,607.0442233570847,223.805856456,181.3155,37193.315687722345,-9.582961989095864,-838.4448300886509
2019-11-01,7520.452982431865,978.7856206740918,1741.0910335719382,515.26123914573,333.578027328,180.3111,37659.32001704803,-35.58933272618159,-762.3054128978464
2019-12-01,7642.393000751939,999.9429518693604,1784.1899823205383,665.0234761837822,455.484489096,181.1976,38150.118507687686,-4.582105722494454,-784.2470304511779
2020-01-01,7512.733529432759,1004.8850926174435,1735.327088426726,580.9276408043164,307.03928157,181.3219,38611.25320008333,-15.78161491305238,-730.4419958092825
2020-02-01,7941.515070351391,988.5170201257566,1562.32383699017,527.32246625236,278.911196235,181.5016,39016.79484063149,-5.950855651903972,-573.8068168644135
