date,horizon,ARIMA,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2021-04-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-05-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-06-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-07-01,6,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2021-08-01,6,0.4694705100263004,0.029620466121962764,0.0,0.3600109127003737,2.2711983072153714e-12,0.1408981111490918
2021-09-01,6,0.5598510421905353,0.036392909817202765,0.0,0.35245533408222623,4.824235029132e-09,0.05130070908580077
2021-10-01,6,0.81835602419647,0.027981295465144364,0.0,0.14902396203929685,3.087054578350207e-05,0.0046078477533052975
2021-11-01,6,6.544431503079951e-12,1.3182567385475936e-12,0.9999999999881826,1.3182567385475936e-12,1.3182567385475936e-12,1.3182567385475936e-12
2021-12-01,6,7.244389272920016e-12,1.3182567385472519e-12,0.9999999999874826,1.3182567385472519e-12,1.3182567385472519e-12,1.3182567385472519e-12
2022-01-01,6,1.3463928473819759e-11,1.6414470108167779e-12,0.9999999999809398,1.3182567385475863e-12,1.3182567385475863e-12,1.3182567385475863e-12
2022-02-01,6,1.861902977542087e-11,2.1887068380452143e-12,0.9999999999752375,1.318256738545069e-12,1.318256738545069e-12,1.318256738545069e-12
2022-03-01,6,3.279050463087107e-11,5.074833269380833e-12,0.9999999999581799,1.3182567385400558e-12,1.3182567385400558e-12,1.3182567385400558e-12
2022-04-01,6,3.846257443275225e-11,1.611216120254884e-12,0.9999999999559714,1.3182567385394094e-12,1.3182567385394094e-12,1.3182567385394094e-12
2022-05-01,6,4.8886389785108554e-11,2.1138893968778787e-12,0.9999999999438005,1.7330057352831045e-12,1.7330057352831045e-12,1.7330057352831045e-12
2022-06-01,6,6.198635319619666e-11,2.765867923763605e-12,0.9999999999284317,2.2720192149855968e-12,2.2720192149855968e-12,2.2720192149855968e-12
2022-07-01,6,7.841030183707e-11,3.609218072669688e-12,0.9999999999090686,2.9706253306156665e-12,2.9706253306156665e-12,2.9706253306156665e-12
2022-08-01,6,9.895309773715642e-11,4.697199350166529e-12,0.9999999998847288,3.873641288212351e-12,3.873641288212351e-12,3.873641288212351e-12
2022-09-01,6,1.245876804902416e-10,6.097061871963954e-12,0.999999999854202,5.0377685069784775e-12,5.0377685069784775e-12,5.0377685069784775e-12
2024-07-01,6,0.8505584000288736,0.042899594263413075,0.0,0.03551400190257108,0.03551400190257108,0.03551400190257108
2024-08-01,6,0.2,0.2,0.0,0.2,0.2,0.2
2024-09-01,6,0.2,0.2,0.0,0.2,0.2,0.2
2024-10-01,6,0.2,0.2,0.0,0.2,0.2,0.2
2024-11-01,6,1.3182567385477192e-12,1.3182567385477192e-12,0.9999999999934086,1.3182567385477192e-12,1.3182567385477192e-12,1.3182567385477192e-12
